Date ,Delivered ,Revenue,Cash Advance,Net Salary
26/06/2026,23,57500,,590000
27/06/2026,26,65000,,
28/06/2026,15,37500,,
29/06/2026,22,55000,,
30/06/2026,,0,,
01/07/2026,26,65000,,
02/07/2026,28,70000,,
03/07/2026,9,22500,,
04/07/2026,31,77500,,
05/07/2026,20,50000,,
06/07/2026,23,57500,,
07/07/2026,13,32500,,
08/07/2026,,0,,
09/07/2026,,0,,
10/07/2026,,0,,
11/07/2026,,0,,
12/07/2026,,0,,
13/07/2026,,0,,
14/07/2026,,0,,
15/07/2026,,0,,
16/07/2026,,0,,
17/07/2026,,0,,
18/07/2026,,0,,
19/07/2026,,0,,
20/07/2026,,0,,
21/07/2026,,0,,
22/07/2026,,0,,
23/07/2026,,0,,
24/07/2026,,0,,
25/07/2026,,0,,
26/07/2026,,0,,
27/07/2026,,0,,
28/07/2026,,0,,
29/07/2026,,0,,
30/07/2026,,0,,